"","...1","...2","make","model","mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb","relDate","relDate.1","relDate.2"
"1",1,1,"Mazda","RX4",21,6,160,110,3.9,2.62,16.46,0,1,4,4,1970-12-24,1976-06-18,1979-07-25
"2",2,2,"Mazda","RX4",21,6,160,110,3.9,2.875,17.02,0,1,4,4,1970-02-06,1978-07-05,1972-10-01
"3",3,3,"Datsun","710",22.8,4,108,93,3.85,2.32,18.61,1,1,4,1,1971-01-05,1977-01-15,1977-03-24
"4",4,4,"Hornet","4",21.4,6,258,110,3.08,3.215,19.44,1,0,3,1,1972-09-12,1970-06-14,1972-08-30
"5",5,5,"Hornet","Sportabout",18.7,8,360,175,3.15,3.44,17.02,0,0,3,2,1977-09-03,1973-10-18,1972-01-11
"6",6,6,"Valiant",NA,18.1,6,225,105,2.76,3.46,20.22,1,0,3,1,1976-08-15,1979-11-07,1979-09-30
"7",7,7,"Duster","360",14.3,8,360,245,3.21,3.57,15.84,0,0,3,4,1975-12-07,1974-02-02,1972-02-04
"8",8,8,"Merc","240D",24.4,4,146.7,62,3.69,3.19,20,1,0,4,2,1978-07-04,1977-01-23,1971-03-14
"9",9,9,"Merc","230",22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,1971-03-23,1977-06-20,1973-02-13
"10",10,10,"Merc","280",19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,1975-10-26,1975-10-11,1973-07-18
"11",11,11,"Merc","280C",17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,1974-05-16,1979-07-23,1970-02-15
"12",12,12,"Merc","450SE",16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1972-07-15,1972-04-16,1978-12-20
"13",13,13,"Merc","450SL",17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1979-01-28,1972-08-05,1979-11-07
"14",14,14,"Merc","450SLC",15.2,8,275.8,180,3.07,3.78,18,0,0,3,3,1976-12-14,1972-03-30,1970-03-14
"15",15,15,"Cadillac","Fleetwood",10.4,8,472,205,2.93,5.25,17.98,0,0,3,4,1979-09-07,1977-08-14,1978-08-20
"16",16,16,"Lincoln","Continental",10.4,8,460,215,3,5.424,17.82,0,0,3,4,1970-04-01,1975-10-03,1978-09-02
"17",17,17,"Chrysler","Imperial",14.7,8,440,230,3.23,5.345,17.42,0,0,3,4,1973-08-22,1978-10-11,1977-11-12
"18",18,18,"Fiat","128",32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,1973-08-10,1971-03-17,1977-01-31
"19",19,19,"Honda","Civic",30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,1976-05-20,1979-12-28,1977-06-25
"20",20,20,"Toyota","Corolla",33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,1974-09-28,1970-04-03,1975-08-01
"21",21,21,"Toyota","Corona",21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,1970-03-14,1979-04-26,1977-02-13
"22",22,22,"Dodge","Challenger",15.5,8,318,150,2.76,3.52,16.87,0,0,3,2,1977-07-19,1979-12-23,1972-01-21
"23",23,23,"AMC","Javelin",15.2,8,304,150,3.15,3.435,17.3,0,0,3,2,1974-06-12,1974-01-10,1974-04-27
"24",24,24,"Camaro","Z28",13.3,8,350,245,3.73,3.84,15.41,0,0,3,4,1971-11-04,1976-06-26,1979-11-03
"25",25,25,"Pontiac","Firebird",19.2,8,400,175,3.08,3.845,17.05,0,0,3,2,1971-08-03,1974-07-01,1974-07-10
"26",26,26,"Fiat","X1-9",27.3,4,79,66,4.08,1.935,18.9,1,1,4,1,1970-01-03,1977-01-09,1975-05-05
"27",27,27,"Porsche","914-2",26,4,120.3,91,4.43,2.14,16.7,0,1,5,2,1971-03-15,1979-06-01,1979-10-29
"28",28,28,"Lotus","Europa",30.4,4,95.1,113,3.77,1.513,16.9,1,1,5,2,1974-09-25,1977-09-10,1976-11-06
"29",29,29,"Ford","Pantera",15.8,8,351,264,4.22,3.17,14.5,0,1,5,4,1971-01-02,1973-03-23,1975-05-22
"30",30,30,"Ferrari","Dino",19.7,6,145,175,3.62,2.77,15.5,0,1,5,6,1977-10-29,1978-09-11,1978-01-06
"31",31,31,"Maserati","Bora",15,8,301,335,3.54,3.57,14.6,0,1,5,8,1978-04-25,1978-10-07,1979-07-15
"32",32,32,"Volvo","142E",21.4,4,121,109,4.11,2.78,18.6,1,1,4,2,1976-12-07,1977-06-21,1974-02-02
